threshold,tn,fp,fn,tp,precision,recall,f1,tpr,fpr,cost
0.518,675,24,136,165,0.873015873015873,0.5481727574750831,0.673469387755102,0.5481727574750812,0.034334763948497805,1384.0
0.52,675,24,136,165,0.873015873015873,0.5481727574750831,0.673469387755102,0.5481727574750812,0.034334763948497805,1384.0
0.522,675,24,136,165,0.873015873015873,0.5481727574750831,0.673469387755102,0.5481727574750812,0.034334763948497805,1384.0
0.524,675,24,136,165,0.873015873015873,0.5481727574750831,0.673469387755102,0.5481727574750812,0.034334763948497805,1384.0
0.526,676,23,137,164,0.8770053475935828,0.5448504983388704,0.6721311475409836,0.5448504983388686,0.032904148783977065,1393.0
0.528,677,22,137,164,0.8817204301075269,0.5448504983388704,0.6735112936344969,0.5448504983388686,0.03147353361945632,1392.0
0.53,678,21,137,164,0.8864864864864865,0.5448504983388704,0.6748971193415638,0.5448504983388686,0.030042918454935577,1391.0
0.532,678,21,138,163,0.8858695652173914,0.5415282392026578,0.6721649484536083,0.5415282392026559,0.030042918454935577,1401.0
0.534,678,21,140,161,0.8846153846153846,0.5348837209302325,0.6666666666666666,0.5348837209302307,0.030042918454935577,1421.0
0.536,679,20,140,161,0.8895027624309392,0.5348837209302325,0.6680497925311203,0.5348837209302307,0.028612303290414837,1420.0
0.538,679,20,140,161,0.8895027624309392,0.5348837209302325,0.6680497925311203,0.5348837209302307,0.028612303290414837,1420.0
0.54,679,20,140,161,0.8895027624309392,0.5348837209302325,0.6680497925311203,0.5348837209302307,0.028612303290414837,1420.0
0.542,679,20,142,159,0.888268156424581,0.5282392026578073,0.6625,0.5282392026578056,0.028612303290414837,1440.0
0.544,680,19,142,159,0.8932584269662921,0.5282392026578073,0.6638830897703549,0.5282392026578056,0.027181688125894096,1439.0
0.546,680,19,143,158,0.8926553672316384,0.5249169435215947,0.6610878661087866,0.5249169435215929,0.027181688125894096,1449.0
0.548,680,19,143,158,0.8926553672316384,0.5249169435215947,0.6610878661087866,0.5249169435215929,0.027181688125894096,1449.0
0.55,680,19,145,156,0.8914285714285715,0.5182724252491694,0.6554621848739496,0.5182724252491677,0.027181688125894096,1469.0
0.552,681,18,145,156,0.896551724137931,0.5182724252491694,0.6568421052631579,0.5182724252491677,0.025751072961373352,1468.0
0.554,681,18,146,155,0.8959537572254336,0.5149501661129569,0.6540084388185654,0.5149501661129551,0.025751072961373352,1478.0
0.556,681,18,146,155,0.8959537572254336,0.5149501661129569,0.6540084388185654,0.5149501661129551,0.025751072961373352,1478.0
0.558,681,18,146,155,0.8959537572254336,0.5149501661129569,0.6540084388185654,0.5149501661129551,0.025751072961373352,1478.0
0.56,681,18,146,155,0.8959537572254336,0.5149501661129569,0.6540084388185654,0.5149501661129551,0.025751072961373352,1478.0
0.562,681,18,146,155,0.8959537572254336,0.5149501661129569,0.6540084388185654,0.5149501661129551,0.025751072961373352,1478.0
0.5640000000000001,684,15,146,155,0.9117647058823529,0.5149501661129569,0.6581740976645435,0.5149501661129551,0.021459227467811127,1475.0
0.5660000000000001,684,15,146,155,0.9117647058823529,0.5149501661129569,0.6581740976645435,0.5149501661129551,0.021459227467811127,1475.0
